airport_name,reason,Cancellatio_num
ABE,C,1
ABE,A,1
ABQ,B,38
ACK,C,3
ACV,B,4
ACY,A,3
ADQ,B,6
AEX,B,14
ALB,C,7
ALO,B,1
AMA,B,16
ANC,B,7
ASE,B,5
ATL,B,136
ATW,B,3
AUS,B,108
AVL,B,6
AVP,C,1
AVP,B,1
AZO,B,2
BDL,C,11
BET,B,1
BFL,C,2
BGM,B,1
BGM,C,1
BGR,C,7
BHM,B,41
BIL,B,1
BIS,C,1
BIS,B,1
BJI,B,1
BMI,B,1
BNA,B,62
BOI,A,4
BOS,B,65
BQN,A,1
BRO,B,12
BRW,B,1
BRW,A,1
BTR,B,19
BTV,C,13
BUF,C,28
BUR,A,32
BWI,C,120
BZN,A,1
BZN,B,1
BZN,C,1
CAE,B,5
CAK,C,3
CHA,C,4
CHO,B,2
CHS,C,14
CID,B,5
CIU,B,1
CLE,C,29
CLL,B,10
CLT,B,62
CMH,C,14
CMX,B,1
COS,B,11
COU,B,1
CRP,B,44
CRW,B,5
CVG,B,15
CWA,B,3
DAB,A,1
DAL,B,145
DAY,B,6
DCA,B,73
DEN,B,142
DFW,B,147
DLH,B,7
DRO,C,2
DSM,B,7
DTW,B,41
EAU,B,2
ECP,B,19
EGE,B,2
ELP,B,33
ERI,C,1
ERI,B,1
EUG,A,2
EVV,C,1
EVV,B,1
EWR,C,193
FAI,A,2
FAR,B,3
FAT,B,3
FLG,C,1
FLL,B,61
FNT,B,3
FSD,C,2
FWA,C,2
FWA,B,2
GEG,A,4
GFK,B,1
GPT,B,14
GRB,B,3
GRI,A,1
GRK,B,9
GRR,B,11
GSO,C,12
GSP,B,8
GST,B,2
GTR,B,1
HDN,C,1
HLN,A,1
HLN,C,1
HNL,A,14
HOB,B,10
HOU,B,811
HPN,A,10
HRL,B,37
HSV,B,15
HYS,C,1
IAD,B,25
IAG,A,3
IAH,B,1886
ICT,B,15
ILM,A,1
IND,B,19
ISP,C,6
ITO,A,1
JAC,C,2
JAN,B,27
JAX,B,17
JFK,C,91
JMS,B,1
JNU,B,3
KOA,A,5
KTN,B,2
LAN,B,2
LAS,B,111
LAW,A,5
LAX,B,122
LBB,B,21
LBE,A,1
LCH,B,15
LEX,B,12
LFT,B,8
LGA,C,159
LGB,A,8
LIH,A,5
LIT,B,18
LNK,C,1
LRD,B,17
LSE,B,1
MAF,B,35
MBS,B,3
MCI,B,44
MCO,B,86
MDT,B,3
MDW,B,110
MEI,B,1
MEM,B,39
MFE,B,17
MFR,B,3
MGM,A,1
MHT,C,10
MIA,B,32
MKE,B,21
MKG,B,3
MLI,B,1
MLI,A,1
MLU,B,10
MOB,B,26
MRY,B,9
MSN,C,3
MSN,B,3
MSP,B,49
MSY,B,106
MTJ,B,6
MYR,B,3
OAK,A,41
OGG,A,7
OKC,B,28
OMA,B,30
ONT,B,13
ORD,B,324
ORF,C,13
ORH,A,1
PAH,B,1
PBI,C,11
PBI,A,11
PDX,B,16
PHL,B,62
PHX,B,91
PIA,B,4
PIB,B,1
PIT,B,23
PNS,B,16
PSC,B,1
PSE,B,3
PSG,A,1
PSP,A,2
PVD,C,13
PWM,C,19
RAP,B,2
RDD,B,3
RDM,B,4
RDU,B,26
RIC,B,8
RNO,B,7
ROC,C,18
RST,A,2
RST,B,2
RSW,A,10
SAF,A,1
SAN,B,63
SAT,B,87
SAV,C,11
SBA,B,8
SBN,C,2
SBN,B,2
SBP,B,5
SCC,B,1
SDF,B,12
SEA,B,55
SFO,B,140
SGF,B,10
SGU,A,1
SHV,B,19
SJC,A,37
SJU,A,17
SLC,B,39
SMF,A,18
SNA,B,42
SPI,B,2
STL,B,60
STS,B,3
STS,C,3
STT,B,2
SUN,B,5
SWF,A,2
SYR,C,10
TOL,B,1
TPA,B,61
TRI,B,1
TRI,A,1
TTN,A,2
TUL,B,45
TUS,A,2
TUS,B,2
TVC,B,4
TYS,B,18
VPS,B,13
XNA,B,5
