FlightDate,avg_Flights
2017-08-01,17078
2017-08-02,17100.5
2017-08-03,17146.333333333332
2017-08-04,17177.75
2017-08-05,16588.75
2017-08-06,16481
2017-08-07,16476.5
2017-08-08,16422.75
2017-08-09,17010
2017-08-10,17134.25
2017-08-11,17136
2017-08-12,16548.25
2017-08-13,16435.75
2017-08-14,16422
2017-08-15,16256.75
2017-08-16,16766.5
2017-08-17,16840
2017-08-18,16794
2017-08-19,16160.5
2017-08-20,16030.25
2017-08-21,16028.25
2017-08-22,15891
2017-08-23,16541.5
2017-08-24,16696.5
2017-08-25,16685.75
2017-08-26,15960.5
2017-08-27,15751.5
2017-08-28,15685
2017-08-29,15504.5
2017-08-30,16228
2017-08-31,16430.25
